SampleID,RNA-Seq_Sample_Preparation,RNA-Seq_Sequencing_Machine,RNA-Seq_Library_Selection,RNA-Seq_Sequencing_Approach,RNA-Seq_ReadLength_bp,RNA-Seq_StrandedAnalysis_InferExperiment_PeSense,RNA-Seq_StrandedAnalysis_InferExperiment_AntiSense,RNA-Seq_StrandedAnalysis_InferExperiment_Failed,RNA-Seq_Predicted_Strandness_InferExperiment
SJBALL021147_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4763,0.477,0.0467,Unstranded
SJBALL021299_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4648,0.466,0.0693,Unstranded
SJBALL021305_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4749,0.4761,0.049,Unstranded
SJBALL021324_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4774,0.4783,0.0443,Unstranded
SJBALL021333_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4644,0.4695,0.0661,Unstranded
SJBALL021336_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4859,0.4824,0.0317,Unstranded
SJBALL021358_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4602,0.4586,0.0812,Unstranded
SJBALL021372_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4603,0.4615,0.0782,Unstranded
SJBALL021405_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4857,0.4853,0.029,Unstranded
SJBALL021416_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4667,0.468,0.0653,Unstranded
SJBALL021427_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4762,0.4784,0.0454,Unstranded
SJBALL021434_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4683,0.4693,0.0624,Unstranded
SJBALL021489_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4702,0.4691,0.0607,Unstranded
SJBALL021491_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.475,0.4728,0.0522,Unstranded
SJBALL021492_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4869,0.4865,0.0267,Unstranded
SJBALL021511_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4852,0.4891,0.0258,Unstranded
SJBALL021512_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4741,0.4721,0.0538,Unstranded
SJBALL021514_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4695,0.4691,0.0615,Unstranded
SJBALL021516_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4694,0.4697,0.061,Unstranded
SJBT030809_D2,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBALL021549_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4749,0.4741,0.051,Unstranded
SJBALL021707_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4722,0.4694,0.0584,Unstranded
SJBALL021720_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4744,0.4726,0.0529,Unstranded
SJBALL021721_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4738,0.4718,0.0544,Unstranded
SJBALL021722_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4639,0.4655,0.0706,Unstranded
SJBALL021728_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4721,0.4707,0.0572,Unstranded
SJBALL021735_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4748,0.4727,0.0525,Unstranded
SJBALL021737_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4692,0.4696,0.0612,Unstranded
SJBALL021738_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4656,0.4657,0.0687,Unstranded
SJBALL021748_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4803,0.4841,0.0356,Unstranded
SJBALL021769_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4628,0.4595,0.0777,Unstranded
SJBALL021772_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4731,0.4748,0.052,Unstranded
SJBALL021778_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4603,0.4623,0.0774,Unstranded
SJBALL021780_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4742,0.4728,0.0531,Unstranded
SJBALL021784_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4751,0.4753,0.0496,Unstranded
SJBALL021786_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4715,0.4735,0.055,Unstranded
SJBALL021787_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4706,0.4711,0.0584,Unstranded
SJBALL021790_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.474,0.4743,0.0517,Unstranded
SJBALL021794_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4721,0.4758,0.0521,Unstranded
SJBALL021800_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4715,0.47,0.0584,Unstranded
SJBALL021803_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4726,0.4739,0.0535,Unstranded
SJBALL021807_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4743,0.4774,0.0483,Unstranded
SJBALL021814_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4768,0.478,0.0452,Unstranded
SJBALL021816_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4727,0.4712,0.0561,Unstranded
SJBALL021820_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4912,0.4884,0.0205,Unstranded
SJBALL021832_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4717,0.4713,0.0571,Unstranded
SJBALL021841_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4577,0.4586,0.0837,Unstranded
SJBALL021849_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4717,0.4722,0.0561,Unstranded
SJBALL021856_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4741,0.4711,0.0549,Unstranded
SJBALL021866_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4728,0.4737,0.0534,Unstranded
SJBT030855_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBALL022244_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4848,0.4886,0.0267,Unstranded
SJBALL022245_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4861,0.4867,0.0272,Unstranded
SJBALL022246_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4745,0.475,0.0505,Unstranded
SJBALL102_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4716,0.4721,0.0563,Unstranded
SJBALL215_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.464,0.466,0.07,Unstranded
SJBALL218_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.466,0.47,0.064,Unstranded
SJBALL227_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4701,0.4747,0.0552,Unstranded
SJBALL230_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4692,0.4723,0.0585,Unstranded
SJBALL231_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.481,0.4834,0.0356,Unstranded
SJBT030856_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBALL239_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4763,0.4791,0.0446,Unstranded
SJBALL247_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4861,0.4838,0.0301,Unstranded
SJBALL255_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.47,0.4738,0.0562,Unstranded
SJCBF001_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4727,0.4751,0.0522,Unstranded
SJCBF001018_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4782,0.4724,0.0494,Unstranded
SJCBF001018_D2,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4796,0.4744,0.046,Unstranded
SJCBF001018_D3,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4786,0.4739,0.0475,Unstranded
SJCBF001018_D4,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4769,0.474,0.0491,Unstranded
SJCBF001018_D5,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4785,0.4743,0.0471,Unstranded
SJCBF001018_D6,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4811,0.4758,0.0431,Unstranded
SJCBF001018_D7,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4846,0.4755,0.0399,Unstranded
SJCBF001018_D8,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4704,0.4687,0.0609,Unstranded
SJCBF004_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4893,0.4916,0.019,Unstranded
SJCBF006_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4872,0.491,0.0218,Unstranded
SJCBF008_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4717,0.4715,0.0568,Unstranded
SJCBF012_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4726,0.4762,0.0512,Unstranded
SJCBF020_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4899,0.4902,0.0199,Unstranded
SJCBF022_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4907,0.4896,0.0197,Unstranded
SJCBF023_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4794,0.4814,0.0392,Unstranded
SJCBF025_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4903,0.4927,0.017,Unstranded
SJCBF030_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4916,0.4923,0.0161,Unstranded
SJCBF031_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4793,0.4816,0.0391,Unstranded
SJCBF034_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4708,0.4708,0.0584,Unstranded
SJBT030856_D2,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJCBF042_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.488,0.4905,0.0215,Unstranded
SJCBF044_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4721,0.4748,0.0531,Unstranded
SJCBF090_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4883,0.4936,0.0181,Unstranded
SJCBF091_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4855,0.4907,0.0238,Unstranded
SJCBF094_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4725,0.4754,0.052,Unstranded
SJCBF099_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4738,0.4751,0.051,Unstranded
SJCBF100_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.47,0.47,0.06,Unstranded
SJCBF101_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4814,0.4825,0.036,Unstranded
SJCBF108_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4693,0.4687,0.0621,Unstranded
SJCBF110_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4911,0.4908,0.0181,Unstranded
SJCBF112_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4876,0.4879,0.0244,Unstranded
SJCBF113_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4893,0.4917,0.019,Unstranded
SJCBF117_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4875,0.4894,0.0231,Unstranded
SJCBF123_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4912,0.4929,0.0158,Unstranded
SJCBF124_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4881,0.4899,0.022,Unstranded
SJCBF125_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4891,0.4911,0.0198,Unstranded
SJCBF138_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4791,0.4807,0.0402,Unstranded
SJCBF139_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4876,0.4887,0.0237,Unstranded
SJCBF141_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4849,0.4865,0.0286,Unstranded
SJCBF143_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4632,0.4622,0.0746,Unstranded
SJCBF145_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4781,0.4796,0.0423,Unstranded
SJCBF149_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4781,0.4782,0.0436,Unstranded
SJCBF150_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4743,0.4771,0.0486,Unstranded
SJCPC001013_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4717,0.4725,0.0559,Unstranded
SJCPC001013_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4704,0.4728,0.0567,Unstranded
SJCPC001014_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4858,0.4847,0.0296,Unstranded
SJCPC001016_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4753,0.4748,0.0499,Unstranded
SJCPC011756_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4677,0.469,0.0633,Unstranded
SJCPC011758_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4637,0.464,0.0723,Unstranded
SJCPC011759_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4697,0.4724,0.0579,Unstranded
SJCPC011761_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4635,0.4632,0.0733,Unstranded
SJCPC011762_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4739,0.4738,0.0524,Unstranded
SJCPC011764_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4614,0.464,0.0747,Unstranded
SJCPC011765_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4643,0.4676,0.0681,Unstranded
SJCPC011766_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4776,0.4771,0.0453,Unstranded
SJCPC011768_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4742,0.4742,0.0516,Unstranded
SJCPC011768_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.47,0.4714,0.0586,Unstranded
SJCPC011769_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4792,0.4805,0.0402,Unstranded
SJCPC011770_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4706,0.4711,0.0583,Unstranded
SJCPC011771_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4691,0.4688,0.0621,Unstranded
SJCPC011772_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4712,0.4708,0.0579,Unstranded
SJCPC011773_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4702,0.4715,0.0584,Unstranded
SJCPC011774_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.469,0.4706,0.0604,Unstranded
SJCPC011776_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.464,0.4678,0.0682,Unstranded
SJCPC011777_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4699,0.4687,0.0614,Unstranded
SJCPC011777_M1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4741,0.4746,0.0513,Unstranded
SJCPC011777_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4725,0.4723,0.0552,Unstranded
SJCPC011778_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4648,0.4658,0.0694,Unstranded
SJE2A018_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4708,0.4755,0.0537,Unstranded
SJE2A037_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4714,0.4716,0.057,Unstranded
SJE2A038_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4652,0.4682,0.0665,Unstranded
SJE2A040_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.484,0.4863,0.0296,Unstranded
SJE2A043_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4814,0.4846,0.034,Unstranded
SJE2A056_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4897,0.4896,0.0206,Unstranded
SJE2A059_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4742,0.4746,0.0512,Unstranded
SJE2A060_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4741,0.4732,0.0528,Unstranded
SJEPD001501_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4937,0.4997,0.0066,Unstranded
SJEPD001503_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4663,0.4695,0.0642,Unstranded
SJEPD001504_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4714,0.4753,0.0533,Unstranded
SJEPD001505_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4747,0.4777,0.0476,Unstranded
SJEPD001506_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4617,0.4617,0.0766,Unstranded
SJEPD001507_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4915,0.4905,0.018,Unstranded
SJEPD001508_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4715,0.4733,0.0553,Unstranded
SJEPD001509_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.477,0.482,0.041,Unstranded
SJEPD001511_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4613,0.4644,0.0743,Unstranded
SJEPD001512_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4877,0.4934,0.0189,Unstranded
SJEPD001513_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4879,0.4912,0.0209,Unstranded
SJEPD001514_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4788,0.4823,0.0389,Unstranded
SJEPD001515_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4684,0.471,0.0606,Unstranded
SJEPD001516_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4707,0.471,0.0584,Unstranded
SJEPD001517_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4588,0.459,0.0822,Unstranded
SJEPD001518_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4725,0.4766,0.0509,Unstranded
SJEPD001519_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.466,0.4685,0.0655,Unstranded
SJEPD001520_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4706,0.4734,0.056,Unstranded
SJEPD001521_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.471,0.4704,0.0586,Unstranded
SJEPD001522_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4617,0.4657,0.0726,Unstranded
SJEPD001523_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4536,0.4553,0.0911,Unstranded
SJEPD001523_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4483,0.4529,0.0988,Unstranded
SJEPD001524_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4612,0.4645,0.0743,Unstranded
SJEPD001525_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4609,0.4632,0.0758,Unstranded
SJEPD001526_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4592,0.4638,0.0769,Unstranded
SJEPD001527_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4674,0.4692,0.0633,Unstranded
SJEPD001528_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4751,0.4738,0.0511,Unstranded
SJEPD001530_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4713,0.4755,0.0532,Unstranded
SJEPD001531_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.468,0.472,0.06,Unstranded
SJEPD001532_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4787,0.4813,0.0401,Unstranded
SJEPD001533_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4564,0.4567,0.087,Unstranded
SJEPD001534_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4519,0.4567,0.0914,Unstranded
SJEPD001535_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.467,0.471,0.062,Unstranded
SJEPD001535_R2,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4538,0.455,0.0912,Unstranded
SJEPD001536_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4729,0.4776,0.0495,Unstranded
SJEPD001537_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4699,0.471,0.0591,Unstranded
SJEPD001538_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.469,0.4719,0.0591,Unstranded
SJEPD001539_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4701,0.4687,0.0612,Unstranded
SJEPD001540_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.487,0.4899,0.0231,Unstranded
SJEPD001541_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4839,0.4877,0.0284,Unstranded
SJEPD001541_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4896,0.4914,0.019,Unstranded
SJEPD001542_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4824,0.4849,0.0326,Unstranded
SJEPD001543_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4827,0.4875,0.0298,Unstranded
SJEPD001544_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4896,0.4942,0.0162,Unstranded
SJEPD002_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4744,0.4718,0.0539,Unstranded
SJBT030886_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJEPD004_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4761,0.4735,0.0504,Unstranded
SJEPD005_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.475,0.4753,0.0497,Unstranded
SJEPD006_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4872,0.4853,0.0276,Unstranded
SJEPD007_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4724,0.4726,0.055,Unstranded
SJEPD008_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4815,0.4771,0.0414,Unstranded
SJEPD009_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4764,0.4766,0.0469,Unstranded
SJEPD009108_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.492,0.4957,0.0122,Unstranded
SJEPD011_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4641,0.4613,0.0746,Unstranded
SJEPD012_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4801,0.4749,0.0449,Unstranded
SJEPD013_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4647,0.4657,0.0696,Unstranded
SJEPD014_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4673,0.4667,0.066,Unstranded
SJEPD015_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4795,0.4774,0.0431,Unstranded
SJEPD016_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4787,0.4768,0.0444,Unstranded
SJEPD017_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4862,0.4848,0.029,Unstranded
SJEPD019_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4802,0.4784,0.0414,Unstranded
SJEPD021_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4733,0.4724,0.0543,Unstranded
SJEPD022_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4843,0.4856,0.0301,Unstranded
SJEPD023_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4689,0.4716,0.0595,Unstranded
SJEPD025_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4671,0.4676,0.0652,Unstranded
SJEPD027_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.475,0.4762,0.0489,Unstranded
SJEPD028_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4748,0.4764,0.0487,Unstranded
SJEPD029_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4716,0.4726,0.0558,Unstranded
SJEPD030_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4712,0.4738,0.055,Unstranded
SJEPD031_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4762,0.4752,0.0486,Unstranded
SJEPD031_R,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4786,0.4796,0.0419,Unstranded
SJBT030913_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJEPD033_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4879,0.4917,0.0203,Unstranded
SJBT030926_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJEPD035_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4615,0.4626,0.0759,Unstranded
SJEPD035_R,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4712,0.4734,0.0554,Unstranded
SJEPD036_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4923,0.4943,0.0134,Unstranded
SJEPD037_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4709,0.472,0.0571,Unstranded
SJEPD037_R,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4651,0.468,0.0669,Unstranded
SJEPD038_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4705,0.4692,0.0604,Unstranded
SJEPD039_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4784,0.4803,0.0413,Unstranded
SJBT030935_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJERG002_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4744,0.479,0.0465,Unstranded
SJERG003_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4683,0.4726,0.0591,Unstranded
