KEY,Study,SampleID,SequencingType,SampleSequencing,BamFile,SampleTypeAbbreviation,SampleTypeDescription,Sample_Preparation,SamplePreservativeDesignationReason,SequencingMachineIDs,Sequencing_Machine,Library_Selection,Sequencing_Approach,Lab_Reported_Strandedness,Sequencing_Protocol,SequencingProtocolDesignationReason,ReadLength_bp,Protocol,StrandedAnalysis_InferExperiment_PeSense,StrandedAnalysis_InferExperiment_AntiSense,StrandedAnalysis_InferExperiment_Failed,Predicted Strandness via InferExperiment,KeepOrExclude,Reason for Decision
G4K_SJBALL030150_D1,G4K,SJBALL030150_D1,RNA-Seq,SJBALL030150_D1.RNA-Seq,SJBALL030150_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",HWI-D00559,HiSeq2500,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.024,0.9216,0.0545,Stranded-Reverse,KEEP,
G4K_SJBALL030161_D1,G4K,SJBALL030161_D1,RNA-Seq,SJBALL030161_D1.RNA-Seq,SJBALL030161_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0277,0.9281,0.0442,Stranded-Reverse,KEEP,
G4K_SJBALL030164_D1,G4K,SJBALL030164_D1,RNA-Seq,SJBALL030164_D1.RNA-Seq,SJBALL030164_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0294,0.9228,0.0478,Stranded-Reverse,KEEP,
G4K_SJBALL030170_D1,G4K,SJBALL030170_D1,RNA-Seq,SJBALL030170_D1.RNA-Seq,SJBALL030170_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0198,0.9403,0.0399,Stranded-Reverse,KEEP,
G4K_SJBALL030174_D1,G4K,SJBALL030174_D1,RNA-Seq,SJBALL030174_D1.RNA-Seq,SJBALL030174_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00258,NS500229","HiSeq4000,NextSeq",Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0255,0.9138,0.0608,Stranded-Reverse,KEEP,
G4K_SJBALL030190_D1,G4K,SJBALL030190_D1,RNA-Seq,SJBALL030190_D1.RNA-Seq,SJBALL030190_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0225,0.9263,0.0512,Stranded-Reverse,KEEP,
G4K_SJBALL030196_D1,G4K,SJBALL030196_D1,RNA-Seq,SJBALL030196_D1.RNA-Seq,SJBALL030196_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.021,0.9273,0.0518,Stranded-Reverse,KEEP,
G4K_SJBALL030207_D1,G4K,SJBALL030207_D1,RNA-Seq,SJBALL030207_D1.RNA-Seq,SJBALL030207_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0251,0.9189,0.0559,Stranded-Reverse,KEEP,
G4K_SJBALL030214_D1,G4K,SJBALL030214_D1,RNA-Seq,SJBALL030214_D1.RNA-Seq,SJBALL030214_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00327,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0272,0.9342,0.0386,Stranded-Reverse,KEEP,
G4K_SJBALL030215_D1,G4K,SJBALL030215_D1,RNA-Seq,SJBALL030215_D1.RNA-Seq,SJBALL030215_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00327,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0242,0.932,0.0438,Stranded-Reverse,KEEP,
G4K_SJBALL030216_D1,G4K,SJBALL030216_D1,RNA-Seq,SJBALL030216_D1.RNA-Seq,SJBALL030216_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00327,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0184,0.9293,0.0523,Stranded-Reverse,KEEP,
G4K_SJBALL030219_D1,G4K,SJBALL030219_D1,RNA-Seq,SJBALL030219_D1.RNA-Seq,SJBALL030219_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00258,K00326",HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.2909,0.67,0.039,Strandedness unclear,EXCLUDE,Strandness unclear
G4K_SJBALL030221_D1,G4K,SJBALL030221_D1,RNA-Seq,SJBALL030221_D1.RNA-Seq,SJBALL030221_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0209,0.9354,0.0437,Stranded-Reverse,KEEP,
G4K_SJBALL030225_D1,G4K,SJBALL030225_D1,RNA-Seq,SJBALL030225_D1.RNA-Seq,SJBALL030225_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00258,NS500229","HiSeq4000,NextSeq",Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0184,0.9275,0.0541,Stranded-Reverse,KEEP,
G4K_SJBALL030227_D1,G4K,SJBALL030227_D1,RNA-Seq,SJBALL030227_D1.RNA-Seq,SJBALL030227_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00258,NS500229","HiSeq4000,NextSeq",Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0182,0.924,0.0579,Stranded-Reverse,KEEP,
G4K_SJBALL030247_D1,G4K,SJBALL030247_D1,RNA-Seq,SJBALL030247_D1.RNA-Seq,SJBALL030247_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0221,0.9275,0.0503,Stranded-Reverse,KEEP,
G4K_SJBALL030248_D1,G4K,SJBALL030248_D1,RNA-Seq,SJBALL030248_D1.RNA-Seq,SJBALL030248_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0287,0.9173,0.0539,Stranded-Reverse,KEEP,
G4K_SJBALL030254_D1,G4K,SJBALL030254_D1,RNA-Seq,SJBALL030254_D1.RNA-Seq,SJBALL030254_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0261,0.9267,0.0472,Stranded-Reverse,KEEP,
G4K_SJBALL030258_D1,G4K,SJBALL030258_D1,RNA-Seq,SJBALL030258_D1.RNA-Seq,SJBALL030258_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0261,0.9346,0.0393,Stranded-Reverse,KEEP,
G4K_SJBALL030265_D1,G4K,SJBALL030265_D1,RNA-Seq,SJBALL030265_D1.RNA-Seq,SJBALL030265_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0267,0.9163,0.057,Stranded-Reverse,KEEP,
G4K_SJBALL030266_D1,G4K,SJBALL030266_D1,RNA-Seq,SJBALL030266_D1.RNA-Seq,SJBALL030266_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0261,0.9226,0.0513,Stranded-Reverse,KEEP,
G4K_SJBALL030267_D1,G4K,SJBALL030267_D1,RNA-Seq,SJBALL030267_D1.RNA-Seq,SJBALL030267_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.045,0.9139,0.0411,Stranded-Reverse,KEEP,
G4K_SJBALL030268_D1,G4K,SJBALL030268_D1,RNA-Seq,SJBALL030268_D1.RNA-Seq,SJBALL030268_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0275,0.9301,0.0424,Stranded-Reverse,KEEP,
G4K_SJBALL030270_D1,G4K,SJBALL030270_D1,RNA-Seq,SJBALL030270_D1.RNA-Seq,SJBALL030270_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0285,0.9336,0.0378,Stranded-Reverse,KEEP,
G4K_SJBALL030271_D1,G4K,SJBALL030271_D1,RNA-Seq,SJBALL030271_D1.RNA-Seq,SJBALL030271_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0258,0.9437,0.0305,Stranded-Reverse,KEEP,
G4K_SJBALL030275_D1,G4K,SJBALL030275_D1,RNA-Seq,SJBALL030275_D1.RNA-Seq,SJBALL030275_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0327,0.9226,0.0448,Stranded-Reverse,KEEP,
G4K_SJBALL030276_D1,G4K,SJBALL030276_D1,RNA-Seq,SJBALL030276_D1.RNA-Seq,SJBALL030276_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0201,0.9497,0.0302,Stranded-Reverse,KEEP,
G4K_SJBALL030282_D1,G4K,SJBALL030282_D1,RNA-Seq,SJBALL030282_D1.RNA-Seq,SJBALL030282_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.03,0.9251,0.0449,Stranded-Reverse,KEEP,
G4K_SJBALL030285_D1,G4K,SJBALL030285_D1,RNA-Seq,SJBALL030285_D1.RNA-Seq,SJBALL030285_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0266,0.9259,0.0476,Stranded-Reverse,KEEP,
G4K_SJBALL030288_D1,G4K,SJBALL030288_D1,RNA-Seq,SJBALL030288_D1.RNA-Seq,SJBALL030288_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0151,0.9369,0.048,Stranded-Reverse,KEEP,
G4K_SJBALL030290_D1,G4K,SJBALL030290_D1,RNA-Seq,SJBALL030290_D1.RNA-Seq,SJBALL030290_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0208,0.9283,0.0509,Stranded-Reverse,KEEP,
G4K_SJBALL030294_D1,G4K,SJBALL030294_D1,RNA-Seq,SJBALL030294_D1.RNA-Seq,SJBALL030294_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0231,0.9232,0.0537,Stranded-Reverse,KEEP,
G4K_SJBALL030295_D1,G4K,SJBALL030295_D1,RNA-Seq,SJBALL030295_D1.RNA-Seq,SJBALL030295_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0248,0.9235,0.0518,Stranded-Reverse,KEEP,
G4K_SJBALL030301_D1,G4K,SJBALL030301_D1,RNA-Seq,SJBALL030301_D1.RNA-Seq,SJBALL030301_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0166,0.9332,0.0502,Stranded-Reverse,KEEP,
G4K_SJBALL030311_D1,G4K,SJBALL030311_D1,RNA-Seq,SJBALL030311_D1.RNA-Seq,SJBALL030311_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.016,0.9379,0.0461,Stranded-Reverse,KEEP,
G4K_SJBALL030313_D1,G4K,SJBALL030313_D1,RNA-Seq,SJBALL030313_D1.RNA-Seq,SJBALL030313_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0139,0.9291,0.0569,Stranded-Reverse,KEEP,
G4K_SJBALL030318_D1,G4K,SJBALL030318_D1,RNA-Seq,SJBALL030318_D1.RNA-Seq,SJBALL030318_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0255,0.92,0.0544,Stranded-Reverse,KEEP,
G4K_SJBALL030323_D1,G4K,SJBALL030323_D1,RNA-Seq,SJBALL030323_D1.RNA-Seq,SJBALL030323_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0384,0.92,0.0416,Stranded-Reverse,KEEP,
G4K_SJBALL030325_D1,G4K,SJBALL030325_D1,RNA-Seq,SJBALL030325_D1.RNA-Seq,SJBALL030325_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.018,0.9322,0.0498,Stranded-Reverse,KEEP,
G4K_SJBALL030327_D1,G4K,SJBALL030327_D1,RNA-Seq,SJBALL030327_D1.RNA-Seq,SJBALL030327_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0218,0.9338,0.0443,Stranded-Reverse,KEEP,
G4K_SJBALL030331_D1,G4K,SJBALL030331_D1,RNA-Seq,SJBALL030331_D1.RNA-Seq,SJBALL030331_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0293,0.9186,0.0521,Stranded-Reverse,KEEP,
G4K_SJBALL030334_D1,G4K,SJBALL030334_D1,RNA-Seq,SJBALL030334_D1.RNA-Seq,SJBALL030334_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0176,0.9281,0.0543,Stranded-Reverse,KEEP,
G4K_SJBALL030337_D1,G4K,SJBALL030337_D1,RNA-Seq,SJBALL030337_D1.RNA-Seq,SJBALL030337_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0183,0.9305,0.0512,Stranded-Reverse,KEEP,
G4K_SJBALL030344_D1,G4K,SJBALL030344_D1,RNA-Seq,SJBALL030344_D1.RNA-Seq,SJBALL030344_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0219,0.9216,0.0565,Stranded-Reverse,KEEP,
G4K_SJBALL030346_D1,G4K,SJBALL030346_D1,RNA-Seq,SJBALL030346_D1.RNA-Seq,SJBALL030346_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0245,0.9291,0.0464,Stranded-Reverse,KEEP,
RTCG_SJBALL030349_D1,RTCG,SJBALL030349_D1,RNA-Seq,SJBALL030349_D1.RNA-Seq,SJBALL030349_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJBALL030350_D1,RTCG,SJBALL030350_D1,RNA-Seq,SJBALL030350_D1.RNA-Seq,SJBALL030350_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJBALL030351_D1,RTCG,SJBALL030351_D1,RNA-Seq,SJBALL030351_D1.RNA-Seq,SJBALL030351_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJBALL030353_D1,RTCG,SJBALL030353_D1,RNA-Seq,SJBALL030353_D1.RNA-Seq,SJBALL030353_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJBALL030354_D1,RTCG,SJBALL030354_D1,RNA-Seq,SJBALL030354_D1.RNA-Seq,SJBALL030354_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJBALL030355_D1,RTCG,SJBALL030355_D1,RNA-Seq,SJBALL030355_D1.RNA-Seq,SJBALL030355_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJBALL030358_D1,RTCG,SJBALL030358_D1,RNA-Seq,SJBALL030358_D1.RNA-Seq,SJBALL030358_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJBALL030362_D1,RTCG,SJBALL030362_D1,RNA-Seq,SJBALL030362_D1.RNA-Seq,SJBALL030362_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJBALL030363_D1,RTCG,SJBALL030363_D1,RNA-Seq,SJBALL030363_D1.RNA-Seq,SJBALL030363_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
G4K_SJBALL030366_D1,G4K,SJBALL030366_D1,RNA-Seq,SJBALL030366_D1.RNA-Seq,SJBALL030366_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00327,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0193,0.9202,0.0605,Stranded-Reverse,KEEP,
RTCG_SJBALL030370_D1,RTCG,SJBALL030370_D1,RNA-Seq,SJBALL030370_D1.RNA-Seq,SJBALL030370_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
